event_date,region,category,sessions,conversions,revenue,latency_ms
2026-09-01,North,Search,1200,84,12600,182
2026-09-01,South,Search,980,61,9150,205
2026-09-01,East,Direct,1100,79,11850,171
2026-09-01,West,Referral,870,58,8700,214
2026-09-02,North,Direct,1280,93,13950,176
2026-09-02,South,Referral,1010,68,10200,198
2026-09-02,East,Search,1160,88,13200,169
2026-09-02,West,Direct,910,63,9450,208
2026-09-03,North,Referral,1310,97,14550,174
2026-09-03,South,Direct,1050,72,10800,194
2026-09-03,East,Referral,1190,91,13650,166
2026-09-03,West,Search,940,66,9900,201
2026-09-04,North,Search,1360,102,15300,172
2026-09-04,South,Search,1080,75,11250,190
2026-09-04,East,Direct,1230,95,14250,164
2026-09-04,West,Referral,970,69,10350,199
2026-09-05,North,Direct,1410,108,16200,168
2026-09-05,South,Referral,1110,79,11850,188
2026-09-05,East,Search,1260,99,14850,162
2026-09-05,West,Direct,1000,72,10800,196
2026-09-06,North,Referral,1460,114,17100,165
2026-09-06,South,Direct,1150,83,12450,184
2026-09-06,East,Referral,1300,103,15450,160
2026-09-06,West,Search,1030,76,11400,193
